experiment,target_project,seed,model,selected_candidate,selection_mode,threshold,selection_score,avg_precision,roc_auc,mcc,f1,balanced_accuracy,precision,recall,brier,precision_at_10pct,recall_at_10pct,lift_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct
within_project,KC2,7,AQRPE_v2_rank,LR_std_C0.1,rank_objective_fixed_threshold,0.5,0.5686727386340771,0.6552446501578482,0.7732749178532312,0.3708873012228987,0.5185185185185185,0.7097480832420591,0.4375,0.6363636363636364,0.16573372198202124,0.8181818181818182,0.4090909090909091,3.9049586776859506,0.5238095238095238,0.5,2.5
within_project,KC2,7,AQRPE_v2_mcc,ET_leaf5,mcc_objective,0.558955,0.7034650053120127,0.6702496264214215,0.7760131434830231,0.3931649624664154,0.5306122448979592,0.7111171960569551,0.48148148148148145,0.5909090909090909,0.16105818408130426,0.9090909090909091,0.45454545454545453,4.338842975206611,0.5714285714285714,0.5454545454545454,2.727272727272727
within_project,KC2,7,AQRPE_v2_soft_top3,ET_leaf5|LR_std_C1|LR_std_C0.1,soft_top3_balanced_objective,0.594,0.6959297113866811,0.6679986610333668,0.778751369112815,0.3715292101542077,0.5106382978723404,0.6944140197152245,0.48,0.5454545454545454,0.16169471266129387,0.8181818181818182,0.4090909090909091,3.9049586776859506,0.5714285714285714,0.5454545454545454,2.727272727272727
cross_project,KC2,7,LR_std_C0.1,LR_std_C0.1,single_candidate_balanced_threshold,0.5235,0.3967451300492107,0.6361385705962561,0.8470217317869609,0.5150820007207124,0.6199261992619927,0.7961378223173066,0.5121951219512195,0.7850467289719626,0.1623742074506686,0.7169811320754716,0.35514018691588783,3.49779580320931,0.6095238095238096,0.5981308411214953,2.9735647530040055
cross_project,KC2,7,LR_std_C1,LR_std_C1,single_candidate_balanced_threshold,0.5235,0.39793379862598,0.6236146732107473,0.8497691701384978,0.5237672151279358,0.6254545454545455,0.8030739781556131,0.5119047619047619,0.8037383177570093,0.16343363662552435,0.6792452830188679,0.3364485981308411,3.3137012872509253,0.6,0.5887850467289719,2.9271028037383173
cross_project,KC2,7,DT_leaf5,DT_leaf5,single_candidate_balanced_threshold,0.265,0.33110115799784745,0.37758253566225547,0.594752843148294,0.2562554193695305,0.4219409282700422,0.6372593176444095,0.38461538461538464,0.4672897196261682,0.17857260244808296,0.5849056603773585,0.2897196261682243,2.8534649973549637,0.45714285714285713,0.4485981308411215,2.2301735647530037
cross_project,KC2,7,ET_leaf5,ET_leaf5,single_candidate_balanced_threshold,0.538978,0.42707070069405195,0.6422990366308706,0.8415606350636189,0.4827609503434298,0.5887850467289719,0.7413804751717148,0.5887850467289719,0.5887850467289719,0.1404316384476974,0.7924528301886793,0.3925233644859813,3.86598483512608,0.6,0.5887850467289719,2.9271028037383173
cross_project,KC2,7,AQRPE_v2_balanced,ET_leaf5,balanced_objective,0.538978,0.42707070069405195,0.6422990366308706,0.8415606350636189,0.4827609503434298,0.5887850467289719,0.7413804751717148,0.5887850467289719,0.5887850467289719,0.1404316384476974,0.7924528301886793,0.3925233644859813,3.86598483512608,0.6,0.5887850467289719,2.9271028037383173
cross_project,KC2,7,AQRPE_v2_rank,ET_leaf5,rank_objective_fixed_threshold,0.5,0.3907109780081254,0.6422990366308706,0.8415606350636189,0.49712475781978915,0.6060606060606061,0.7620425627744623,0.5645161290322581,0.6542056074766355,0.1404316384476974,0.7924528301886793,0.3925233644859813,3.86598483512608,0.6,0.5887850467289719,2.9271028037383173
cross_project,KC2,7,AQRPE_v2_mcc,ET_leaf5,mcc_objective,0.538978,0.31787779806087574,0.6422990366308706,0.8415606350636189,0.4827609503434298,0.5887850467289719,0.7413804751717148,0.5887850467289719,0.5887850467289719,0.1404316384476974,0.7924528301886793,0.3925233644859813,3.86598483512608,0.6,0.5887850467289719,2.9271028037383173
cross_project,KC2,7,AQRPE_v2_soft_top3,ET_leaf5|LR_std_C1|LR_std_C0.1,soft_top3_balanced_objective,0.4765,0.4192828441022044,0.6418649536106086,0.8531471681116991,0.4911074949932614,0.6007067137809188,0.7875577074653755,0.48295454545454547,0.794392523364486,0.15233281648219302,0.7358490566037735,0.3644859813084112,3.5898430611885024,0.5714285714285714,0.5607476635514018,2.7877169559412547
