experiment,target_project,seed,selector_model,mode,selected_candidate,threshold,selection_score
cross_project,JM1,29,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.4292598656801676
cross_project,JM1,42,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.3605613732164887
cross_project,JM1,101,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.3650066474279657
cross_project,KC1,7,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.413278097312849
cross_project,KC1,13,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.3825378893206337
cross_project,KC1,29,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.3926269600548829
cross_project,KC1,42,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.4116116881436368
cross_project,KC1,101,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.3923459689489896
cross_project,KC2,7,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.390321455877669
cross_project,KC2,13,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.4175446391064234
cross_project,KC2,29,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.3845358485746204
cross_project,KC2,42,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.4102873139788795
cross_project,KC2,101,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.3782040101755188
cross_project,PC1,7,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.3916036487018066
cross_project,PC1,13,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.4057284356309184
cross_project,PC1,29,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.3937649330476818
cross_project,PC1,42,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.426675416003242
cross_project,PC1,101,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.3929685543441533
within_project,CM1,7,AQRPE_v2_rank,rank,LR_std_C0.1,0.5,0.3433765928642311
within_project,CM1,13,AQRPE_v2_rank,rank,LR_std_C0.1,0.5,0.3420815363881402
within_project,CM1,29,AQRPE_v2_rank,rank,LR_std_C1,0.5,0.3238708411264192
within_project,CM1,42,AQRPE_v2_rank,rank,LR_std_C1,0.5,0.322912952836637
within_project,CM1,101,AQRPE_v2_rank,rank,LR_std_C1,0.5,0.290462797804111
within_project,JM1,7,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.3656804174029186
within_project,JM1,13,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.4079522137925236
within_project,JM1,29,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.4002790579863235
within_project,JM1,42,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.3919821344575491
within_project,JM1,101,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.4131395010259435
within_project,KC1,7,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.4997478677804201
within_project,KC1,13,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.4747761504946258
within_project,KC1,29,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.3792698439376591
within_project,KC1,42,AQRPE_v2_rank,rank,LR_std_C0.1,0.5,0.4262165718498949
within_project,KC1,101,AQRPE_v2_rank,rank,LR_std_C1,0.5,0.3933358891672145
within_project,KC2,7,AQRPE_v2_rank,rank,LR_std_C0.1,0.5,0.5686727386340771
within_project,KC2,13,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.6724045375842147
within_project,KC2,29,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.5340700406180438
within_project,KC2,42,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.6640729024777127
within_project,KC2,101,AQRPE_v2_rank,rank,LR_std_C0.1,0.5,0.5510559610846433
within_project,PC1,7,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.4644543503627678
within_project,PC1,13,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.4387052822165259
within_project,PC1,29,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.431688323619832
within_project,PC1,42,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.4740045568645111
within_project,PC1,101,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.4783677128330164
